system:index,LST,NDBI,NDVI,.geo
99,29.729260400000044,-0.01142263759086189,0.43084994753410283,"{""type"":""Point"",""coordinates"":[77.37435617936933,23.202911508512845]}"
100,27.828841280000006,-0.09130434782608696,0.48564664101805266,"{""type"":""Point"",""coordinates"":[77.3830390210933,23.34547106745068]}"
101,29.262700670000015,-0.18937157317587516,0.6165090283748925,"{""type"":""Point"",""coordinates"":[77.40074493221103,23.318081956204466]}"
102,29.84376407000002,0.09777717168962226,0.1259360108917631,"{""type"":""Point"",""coordinates"":[77.49679976834557,23.22962411732935]}"
103,28.100573870000005,-0.1609935602575897,0.502828222685323,"{""type"":""Point"",""coordinates"":[77.4274510414134,23.345880316816782]}"
104,30.778592539999977,-0.020561830292499274,0.329811320754717,"{""type"":""Point"",""coordinates"":[77.44079592691998,23.1999219203403]}"
105,30.23170934000001,-0.25796935959653633,0.6911858769348855,"{""type"":""Point"",""coordinates"":[77.36163010348979,23.21522334437808]}"
106,36.58409950999999,0.13552361396303902,0.16073890267438654,"{""type"":""Point"",""coordinates"":[77.36747426769982,23.309171249329925]}"
107,30.101824580000027,-0.04307956824911644,0.20876688067301305,"{""type"":""Point"",""coordinates"":[77.48871030150484,23.23524968641868]}"
108,33.61896716000001,0.02153484729835552,0.38028169014084506,"{""type"":""Point"",""coordinates"":[77.48123392237655,23.286885676916903]}"
109,33.0447398,-0.08067579726082175,0.4747612551159618,"{""type"":""Point"",""coordinates"":[77.33937196536667,23.2318083284432]}"
110,23.20596923000005,-0.1440677966101695,-0.22783603431839847,"{""type"":""Point"",""coordinates"":[77.38820571403092,23.19940998597375]}"
111,28.801267970000026,0.09409646546005875,0.2716147911678638,"{""type"":""Point"",""coordinates"":[77.44472029879586,23.27713870293662]}"
112,31.665568730000018,-0.013992537313432836,0.3781299524564184,"{""type"":""Point"",""coordinates"":[77.47345092111492,23.320767083869427]}"
113,33.430976060000035,0.08056872037914692,0.3764002987303958,"{""type"":""Point"",""coordinates"":[77.40880499086272,23.306310350688463]}"
114,31.18704593000001,-0.046338396053013445,0.15481528934443733,"{""type"":""Point"",""coordinates"":[77.37329420628565,23.28211336238277]}"
115,35.01351932,0.2618563984809679,0.19570815450643778,"{""type"":""Point"",""coordinates"":[77.37493947009206,23.176975899548356]}"
116,33.28571021000005,0.043281043281043284,0.34484590860786396,"{""type"":""Point"",""coordinates"":[77.38418589281157,23.30835961969271]}"
117,29.20801234999999,-0.17192097519966373,0.5471698113207547,"{""type"":""Point"",""coordinates"":[77.42270286778908,23.34546018792183]}"
118,29.59253960000001,0.10186735350933676,0.1284789644012945,"{""type"":""Point"",""coordinates"":[77.43364957778475,23.264466822545263]}"
119,30.81619076000004,0.019873451564031728,0.2738012508686588,"{""type"":""Point"",""coordinates"":[77.31799760452039,23.272880139798527]}"
120,30.990509780000025,-0.21873491067117334,0.623934373492038,"{""type"":""Point"",""coordinates"":[77.40255171853991,23.239779322861747]}"
121,22.76846267000002,-0.3070063694267516,-0.18829113924050633,"{""type"":""Point"",""coordinates"":[77.35184859170975,23.248069364632016]}"
122,28.878173420000053,-0.04933633859253694,0.3630448926480156,"{""type"":""Point"",""coordinates"":[77.45002160571256,23.30192109631627]}"
123,33.25494803000004,0.10226074733512944,0.08770933863184786,"{""type"":""Point"",""coordinates"":[77.40711987066209,23.260513893822942]}"
124,32.15092757000002,0.13065861885318658,0.25660764690787785,"{""type"":""Point"",""coordinates"":[77.37635863522912,23.239491180230957]}"
125,28.33299923000004,-0.016454905228077483,0.22613065326633167,"{""type"":""Point"",""coordinates"":[77.46966002847812,23.19592529596733]}"
126,32.55596294000003,0.015574947531205125,0.34297769740807715,"{""type"":""Point"",""coordinates"":[77.48039859570946,23.246689619931775]}"
127,31.742474180000045,-0.0365540407034183,0.460467706013363,"{""type"":""Point"",""coordinates"":[77.38660976901768,23.295128262334096]}"
128,31.39725415999999,0.1849012775842044,0.11733800350262696,"{""type"":""Point"",""coordinates"":[77.33890312596456,23.270551237270837]}"
129,34.152178280000044,-0.009616724738675959,0.20834028356964138,"{""type"":""Point"",""coordinates"":[77.44241196889338,23.222505588199493]}"
130,29.71558832000005,0.01602747567258157,0.21255584293439925,"{""type"":""Point"",""coordinates"":[77.37685823655102,23.277578085786754]}"
131,27.881820590000018,-0.39662288930581613,0.5946872322193659,"{""type"":""Point"",""coordinates"":[77.49233546238516,23.25811834419204]}"
132,32.005661720000035,0.08191332929677364,0.2595229619081524,"{""type"":""Point"",""coordinates"":[77.45158829267982,23.197986905474526]}"
133,28.679928259999997,-0.21054633033337558,0.6414575455482984,"{""type"":""Point"",""coordinates"":[77.44025191098663,23.25727702023949]}"
134,33.266911100000016,0.1267939746174831,0.10656846535397566,"{""type"":""Point"",""coordinates"":[77.46643103121447,23.268864321493155]}"
135,30.245381420000058,-0.0479145122371596,0.487279843444227,"{""type"":""Point"",""coordinates"":[77.45437383845258,23.2440350436022]}"
136,31.369910000000004,0.08664259927797834,0.19621749408983452,"{""type"":""Point"",""coordinates"":[77.50213107885268,23.245967337213308]}"
137,31.469032580000032,0.0033229713795690854,0.39442111577684463,"{""type"":""Point"",""coordinates"":[77.32646085219595,23.277993911061028]}"
138,23.197424179999985,-0.38734177215189874,-0.07588532883642496,"{""type"":""Point"",""coordinates"":[77.34175110673061,23.242650509934297]}"
139,30.886260170000014,0.14191297962181018,0.25560779046339827,"{""type"":""Point"",""coordinates"":[77.40336736141953,23.2606458396494]}"
140,30.84695294000005,0.09864188706218728,0.32841717145114563,"{""type"":""Point"",""coordinates"":[77.4499204417048,23.326036338428974]}"
141,30.85891601000003,0.018095238095238095,0.38705771559262747,"{""type"":""Point"",""coordinates"":[77.35962614362545,23.23329785809351]}"
142,27.314429270000005,-0.20824742268041238,0.5740934188927026,"{""type"":""Point"",""coordinates"":[77.50431518545051,23.266582965080268]}"
143,30.330831920000037,0.11098642127707328,0.12929436920883822,"{""type"":""Point"",""coordinates"":[77.41202974101209,23.18751694995446]}"
144,30.144549830000017,-0.05595026642984014,0.46248462484624847,"{""type"":""Point"",""coordinates"":[77.45062634855424,23.31099789250401]}"
145,32.93878117999998,0.004270283848279327,0.338510889751815,"{""type"":""Point"",""coordinates"":[77.47359899233592,23.253239704607704]}"
146,36.86266813999998,0.11186249647788109,0.18126171143035602,"{""type"":""Point"",""coordinates"":[77.39973103062272,23.20503904702001]}"
147,33.34210754000003,0.1725598136777472,0.20116797295220532,"{""type"":""Point"",""coordinates"":[77.45004899516434,23.26383558253756]}"
148,29.879653280000014,0.08398681668371406,0.10004094445202676,"{""type"":""Point"",""coordinates"":[77.39979750590184,23.259819734821175]}"
149,33.20709575000001,0.11650853889943075,0.3174872665534805,"{""type"":""Point"",""coordinates"":[77.49841772787302,23.288741893249284]}"
