system:index,NDBI,NDVI,.geo
200,0.0836629145117128,0.4138632451885464,"{""type"":""Point"",""coordinates"":[77.36845403494057,23.2335316432882]}"
201,0.0024267313795034535,0.3244114002478315,"{""type"":""Point"",""coordinates"":[77.41254967548835,23.32420804669584]}"
202,-0.06998108619292083,0.4337436640115858,"{""type"":""Point"",""coordinates"":[77.42700423655663,23.333803546040144]}"
203,0.18254716981132074,0.340553084509766,"{""type"":""Point"",""coordinates"":[77.37665630230083,23.184743484912868]}"
204,0.019837691614066726,0.258465991316932,"{""type"":""Point"",""coordinates"":[77.45943663399834,23.26784945776893]}"
205,0.001860374033095075,0.24241316270566726,"{""type"":""Point"",""coordinates"":[77.44273760782815,23.279955948401707]}"
206,-0.11342894393741851,-0.1851145038167939,"{""type"":""Point"",""coordinates"":[77.38549768327475,23.200745598029368]}"
207,-0.09211737041202331,0.37903434030467337,"{""type"":""Point"",""coordinates"":[77.48454644495963,23.269798671437336]}"
208,-0.08833599634786578,0.5518307567127746,"{""type"":""Point"",""coordinates"":[77.50569256395902,23.268904981970117]}"
209,0.004430660168365086,0.28107183580387685,"{""type"":""Point"",""coordinates"":[77.41078989443555,23.335649435652247]}"
210,-0.05982041229290502,0.2620481927710843,"{""type"":""Point"",""coordinates"":[77.49261466762809,23.229484064587403]}"
211,0.061596723085246156,0.26505521983746616,"{""type"":""Point"",""coordinates"":[77.4843981995954,23.256742122396144]}"
212,-0.1334453781512605,0.5517717441325357,"{""type"":""Point"",""coordinates"":[77.39107110371692,23.19046493414919]}"
213,0.028037383177570093,0.3254901960784314,"{""type"":""Point"",""coordinates"":[77.45379429518206,23.338627912403297]}"
214,-0.0332892998678996,0.33412928534879754,"{""type"":""Point"",""coordinates"":[77.45053166203446,23.23280161389304]}"
215,-0.0437172120909318,0.5479807336050388,"{""type"":""Point"",""coordinates"":[77.3913354174527,23.181156332481486]}"
216,0.03528114663726571,0.19912292723036865,"{""type"":""Point"",""coordinates"":[77.44041586188449,23.238974231192614]}"
217,-0.011531590060094202,0.49334612156815727,"{""type"":""Point"",""coordinates"":[77.37859322064904,23.288091865976057]}"
218,-0.021894548704200177,0.5953958841995117,"{""type"":""Point"",""coordinates"":[77.45133268730747,23.289193051055122]}"
219,0.029079861111111112,0.2847092605886576,"{""type"":""Point"",""coordinates"":[77.47728428555483,23.212135356050936]}"
220,-0.04653032062159507,0.16782938010763404,"{""type"":""Point"",""coordinates"":[77.47282650405467,23.271380553673623]}"
221,-0.11303897449177781,0.536097212294496,"{""type"":""Point"",""coordinates"":[77.49160291586587,23.220225486345452]}"
222,-0.3119266055045872,-0.1781609195402299,"{""type"":""Point"",""coordinates"":[77.36788491454406,23.251653877512954]}"
223,0.057957466697826594,0.20905818836232753,"{""type"":""Point"",""coordinates"":[77.49130511568535,23.244529510087546]}"
224,-0.13435611343561135,0.5331448319195727,"{""type"":""Point"",""coordinates"":[77.4123491375867,23.33915936805677]}"
225,-0.047537993920972646,0.47534246575342465,"{""type"":""Point"",""coordinates"":[77.47694574937118,23.245422273282344]}"
226,-0.0764063811922754,0.4157923799006074,"{""type"":""Point"",""coordinates"":[77.44784249573007,23.29402342643203]}"
227,-0.17984465245966938,0.5143149284253579,"{""type"":""Point"",""coordinates"":[77.45874150010724,23.316310582628823]}"
228,0.050913838120104436,0.2724620770128355,"{""type"":""Point"",""coordinates"":[77.37609092365236,23.295843307981233]}"
229,0.09019524617996605,0.4527278888512369,"{""type"":""Point"",""coordinates"":[77.34529792329802,23.292760423087838]}"
230,-0.08954501452081316,0.4536648369389732,"{""type"":""Point"",""coordinates"":[77.37615072760589,23.33963387920142]}"
231,-0.18993526322218152,0.6889736477115118,"{""type"":""Point"",""coordinates"":[77.45280155893275,23.235952508312366]}"
232,0.018923713778829097,0.3078439101300749,"{""type"":""Point"",""coordinates"":[77.37080146474868,23.315307241434752]}"
233,-0.05097183657278857,0.21230839624799816,"{""type"":""Point"",""coordinates"":[77.37137595713203,23.2575925074886]}"
234,0.05647354110018824,0.101318359375,"{""type"":""Point"",""coordinates"":[77.43167177260511,23.21367004297311]}"
235,0.029070691024622716,0.31243289671462315,"{""type"":""Point"",""coordinates"":[77.41646813238259,23.273102452678994]}"
236,0.02609249045396691,0.19122989102231447,"{""type"":""Point"",""coordinates"":[77.4289453201144,23.25316381056644]}"
